Channel;Value
7250;113
7251;125
7252;139
7253;134
7254;151
7255;148
7256;134
7257;122
7258;133
7259;122
7260;150
7261;148
7262;138
7263;157
7264;154
7265;169
7266;132
7267;169
7268;194
7269;223
7270;210
7271;212
7272;203
7273;231
7274;258
7275;224
7276;295
7277;295
7278;303
7279;359
7280;368
7281;408
7282;418
7283;459
7284;521
7285;541
7286;607
7287;697
7288;739
7289;817
7290;944
7291;1042
7292;1183
7293;1370
7294;1545
7295;1811
7296;2152
7297;2341
7298;2796
7299;3286
7300;3667
7301;4081
7302;4469
7303;4986
7304;5136
7305;5267
7306;4984
7307;4808
7308;4256
7309;3780
7310;3015
7311;2382
7312;1828
7313;1350
7314;983
7315;739
7316;642
7317;514
7318;471
7319;482
7320;437
7321;479
7322;441
7323;470
7324;498
7325;473
7326;528
7327;512
7328;514
7329;551
7330;600
7331;549
7332;561
7333;553
7334;542
7335;585
7336;561
7337;564
7338;547
7339;569
7340;539
7341;549
7342;625
7343;640
7344;653
7345;657
7346;735
7347;698
7348;733
7349;828
7350;876
7351;942
7352;1058
7353;1155
7354;1174
7355;1282
7356;1399
7357;1495
7358;1658
7359;1831
7360;2094
7361;2325
7362;2710
7363;3044
7364;3497
7365;4008
7366;4711
7367;5486
7368;6488
7369;7738
7370;9235
7371;10947
7372;13251
7373;15970
7374;19081
7375;22715
7376;26348
7377;30174
7378;34177
7379;38378
7380;40588
7381;41832
7382;41870
7383;40111
7384;36053
7385;31492
7386;26137
7387;20848
7388;16179
7389;11916
7390;8804
7391;6302
7392;4798
7393;3929
7394;3242
7395;3011
7396;2683
7397;2673
7398;2732
7399;2534
7400;2747
7401;2789
7402;2809
7403;2938
7404;3064
7405;3244
7406;3552
7407;3581
7408;3913
7409;4200
7410;4689
7411;4902
7412;5456
7413;5926
7414;6675
7415;7310
7416;8257
7417;9132
7418;10091
7419;11598
7420;13161
7421;15237
7422;17357
7423;20236
7424;23489
7425;27358
7426;32716
7427;39284
7428;46855
7429;55892
7430;68012
7431;81810
7432;98727
7433;119451
7434;143077
7435;169636
7436;197743
7437;228479
7438;255851
7439;280257
7440;296998
7441;302143
7442;297907
7443;278073
7444;249244
7445;211003
7446;170365
7447;129728
7448;93760
7449;63839
7450;41061
7451;25391
7452;14830
7453;8289
7454;4399
7455;2277
7456;1262
7457;674
7458;444
7459;344
7460;253
7461;230
7462;238
7463;187
7464;217
7465;171
7466;164
7467;147
7468;129
7469;116
7470;118
7471;117
7472;105
7473;97
7474;77
7475;70
7476;96
7477;75
7478;71
7479;74
7480;67
7481;81
7482;71
7483;96
7484;95
7485;95
7486;101
7487;119
7488;159
7489;151
7490;193
7491;206
7492;198
7493;262
7494;327
7495;384
7496;446
7497;509
7498;556
7499;618
7500;662
7501;668
7502;644
7503;599
7504;623
7505;479
7506;362
7507;342
7508;282
7509;199
7510;153
7511;120
7512;118
7513;72
7514;82
7515;72
7516;83
7517;72
7518;84
7519;77
7520;58
7521;79
7522;68
7523;61
7524;68
7525;62
7526;89
7527;92
7528;100
7529;102
7530;125
7531;139
7532;157
7533;198
7534;268
7535;301
7536;346
7537;384
7538;483
7539;561
7540;616
7541;737
7542;750
7543;898
7544;837
7545;816
7546;814
7547;728
7548;662
7549;511
7550;384
7551;293
7552;220
7553;162
7554;81
7555;46
7556;27
7557;24
7558;8
7559;6
7560;6
7561;4
7562;5
7563;4
7564;4
7565;4
