HR01;HR02;Suma;Suma_Eduardo;Check
0;0;504;504;0
0;0;542;542;0
0;0;574;574;0
0;0;583;583;0
0;0;630;630;0
0;0;595;595;0
0;0;670;670;0
0;0;668;668;0
0;0;782;782;0
0;3;770;770;0
0;12;808;808;0
0;29;834;834;0
0;45;809;809;0
0;111;894;894;0
0;143;958;958;0
0;173;957;957;0
0;201;963;963;0
0;228;971;971;0
0;270;1090;1090;0
0;262;1157;1157;0
0;289;1216;1216;0
0;324;1265;1265;0
0;291;1388;1388;0
0;352;1451;1451;0
0;399;1526;1526;0
0;419;1649;1649;0
0;401;1647;1647;0
0;417;1830;1830;0
0;433;2084;2084;0
0;425;2286;2286;0
0;471;2617;2617;0
0;478;3064;3064;0
0;504;3848;3848;0
0;504;4710;4710;0
0;542;5700;5700;0
0;574;5883;5883;0
0;583;6210;6210;0
0;630;6133;6133;0
0;595;6310;6310;0
0;670;6255;6255;0
0;668;6411;6411;0
0;782;6283;6283;0
0;770;6110;6110;0
0;808;5883;5883;0
0;834;5700;5700;0
0;809;5722;5722;0
0;894;5531;5531;0
0;958;5535;5535;0
0;957;5583;5583;0
0;963;5460;5460;0
0;971;5289;5289;0
0;1090;5386;5386;0
0;1157;5103;5103;0
0;1216;5278;5278;0
0;1265;5326;5326;0
0;1388;5311;5311;0
0;1451;5333;5333;0
0;1526;5402;5402;0
0;1649;5361;5361;0
0;1647;5380;5380;0
0;1830;5285;5285;0
0;2084;5296;5296;0
0;2286;5047;5047;0
0;2617;5054;5054;0
0;3064;4940;4940;0
0;3848;5011;5011;0
0;4710;4808;4808;0
0;5700;4817;4817;0
0;5883;4726;4726;0
0;6210;4764;4764;0
87;6133;4743;4743;0
1021;6310;5791;5791;0
2235;6255;6930;6930;0
2828;6411;7376;7376;0
3145;6283;7581;7581;0
3345;6110;7801;7801;0
3220;5883;7537;7537;0
3660;5700;7956;7956;0
3930;5722;8306;8306;0
4013;5531;8204;8204;0
3853;5535;8097;8097;0
3790;5583;7993;7993;0
3604;5460;7749;7749;0
3726;5289;7940;7940;0
3564;5386;7698;7698;0
3567;5103;7552;7552;0
3435;5278;7201;7201;0
3332;5326;7192;7192;0
3292;5311;7149;7149;0
3324;5333;7102;7102;0
3226;5402;7007;7007;0
3393;5361;7078;7078;0
3342;5380;6946;6946;0
3444;5285;7058;7058;0
3583;5296;7070;7070;0
3643;5047;7151;7151;0
3683;5054;7192;7192;0
3660;4940;7064;7064;0
3477;5011;6764;6764;0
3435;4808;6807;6807;0
3370;4817;6596;6596;0
3379;4726;6648;6648;0
3287;4764;6504;6504;0
3225;4656;6377;6377;0
3186;4770;6279;6279;0
3234;4695;6343;6343;0
3171;4548;6204;6204;0
3115;4436;6088;6088;0
3073;4456;6005;6005;0
2948;4317;5902;5902;0
3016;4296;5836;5836;0
2949;4376;5737;5737;0
2901;4191;5596;5596;0
2994;4244;5709;5709;0
2889;4203;5609;5609;0
2862;4145;5566;5566;0
2843;4214;5473;5473;0
2906;4134;5479;5479;0
2929;3985;5594;5594;0
2725;3766;5257;5257;0
2802;3860;5342;5342;0
2839;3857;5318;5318;0
2746;3778;5161;5161;0
2754;3781;5217;5217;0
2653;3685;5120;5120;0
2665;3604;4943;4943;0
2617;3614;4902;4902;0
2632;3487;4926;4926;0
2529;3508;4765;4765;0
2444;3509;4655;4655;0
2472;3404;4785;4785;0
2497;3287;4701;4701;0
2358;3372;4518;4518;0
2419;3226;4514;4514;0
2380;3269;4471;4471;0
2372;3217;4417;4417;0
2345;3152;4451;4451;0
2285;3093;4304;4304;0
2294;3109;4314;4314;0
2250;3033;4212;4212;0
2298;2973;4229;4229;0
2244;2932;4329;4329;0
2207;2954;4242;4242;0
2164;2820;4068;4068;0
2193;2788;4097;4097;0
2139;2695;3982;3982;0
2082;2715;3973;3973;0
2032;2720;3826;3826;0
1982;2704;3804;3804;0
2008;2630;3744;3744;0
1992;2573;3794;3794;0
1924;2665;3673;3673;0
1858;2532;3594;3594;0
1886;2540;3688;3688;0
1986;2479;3810;3810;0
1847;2415;3628;3628;0
1855;2463;3512;3512;0
1933;2467;3693;3693;0
1766;2278;3465;3465;0
1766;2285;3412;3412;0
1759;2294;3318;3318;0
1837;2236;3436;3436;0
1767;2211;3280;3280;0
1655;2313;3219;3219;0
1793;2204;3391;3391;0
1696;2160;3173;3173;0
1716;2095;3204;3204;0
1654;2091;3068;3068;0
1587;2045;3085;3085;0
1602;2106;3026;3026;0
1594;2019;2953;2953;0
1522;2020;2915;2915;0
1570;1962;3002;3002;0
1545;1931;2989;2989;0
1506;2085;2936;2936;0
1487;2035;2913;2913;0
1515;1904;3008;3008;0
1456;1904;2862;2862;0
1501;1843;2880;2880;0
1426;1891;2819;2819;0
1420;1794;2786;2786;0
1404;1822;2769;2769;0
1338;1736;2618;2618;0
1444;1802;2717;2717;0
1385;1749;2592;2592;0
1334;1736;2516;2516;0
1394;1802;2632;2632;0
1404;1824;2624;2624;0
1284;1781;2483;2483;0
1343;1657;2529;2529;0
1357;1760;2527;2527;0
1396;1699;2541;2541;0
1355;1646;2579;2579;0
1344;1559;2486;2486;0
1363;1599;2497;2497;0
1283;1513;2463;2463;0
1243;1564;2356;2356;0
1212;1598;2392;2392;0
1195;1477;2337;2337;0
1194;1488;2313;2313;0
1149;1414;2251;2251;0
1125;1498;2246;2246;0
1114;1424;2126;2126;0
1117;1359;2173;2173;0
1163;1393;2241;2241;0
